symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPCHF,2024Q2,50,18,36.0,0.009,1.01,False
GBPCHF,2024Q3,50,27,54.0,0.592,2.46,True
GBPCHF,2024Q4,63,23,36.51,-0.022,0.96,False
GBPCHF,2025Q1,46,18,39.13,0.042,1.08,False
GBPCHF,2025Q2,40,20,50.0,0.31,1.63,True
GBPCHF,2025Q3,31,10,32.26,-0.01,0.98,False
GBPCHF,2025Q4,48,23,47.92,0.295,1.57,False
GBPCHF,2026Q1,21,12,57.14,0.639,2.49,False
AUDCAD,2023Q1,63,31,49.21,0.454,1.96,True
AUDCAD,2023Q2,57,28,49.12,0.349,1.77,True
AUDCAD,2023Q3,51,32,62.75,0.796,3.14,True
AUDCAD,2023Q4,49,17,34.69,0.032,1.05,False
AUDCAD,2024Q1,48,20,41.67,0.364,1.77,False
AUDCAD,2024Q2,57,30,52.63,0.343,1.72,True
AUDCAD,2024Q3,70,32,45.71,0.272,1.53,False
AUDCAD,2024Q4,50,16,32.0,-0.09,0.86,False
AUDCAD,2025Q1,58,24,41.38,0.237,1.42,False
AUDCAD,2025Q2,52,24,46.15,0.36,1.67,False
AUDCAD,2025Q3,60,26,43.33,0.194,1.35,False
AUDCAD,2025Q4,57,20,35.09,0.012,1.02,False
AUDCAD,2026Q1,27,11,40.74,0.14,1.24,False
AUDCHF,2023Q1,42,17,40.48,0.096,1.17,False
AUDCHF,2023Q2,52,24,46.15,0.273,1.54,False
AUDCHF,2023Q3,53,23,43.4,0.192,1.36,False
AUDCHF,2023Q4,52,23,44.23,0.252,1.47,False
AUDCHF,2024Q1,41,15,36.59,0.102,1.17,False
AUDCHF,2024Q2,48,22,45.83,0.187,1.36,False
AUDCHF,2024Q3,61,32,52.46,0.491,2.09,True
AUDCHF,2024Q4,56,21,37.5,0.114,1.19,False
AUDCHF,2025Q1,57,23,40.35,0.115,1.2,False
AUDCHF,2025Q2,49,22,44.9,0.322,1.66,False
AUDCHF,2025Q3,40,20,50.0,0.36,1.75,True
AUDCHF,2025Q4,52,23,44.23,0.223,1.4,False
AUDCHF,2026Q1,28,11,39.29,0.11,1.2,False
AUDNZD,2023Q1,53,21,39.62,0.175,1.29,False
AUDNZD,2023Q2,54,31,57.41,0.668,2.57,True
AUDNZD,2023Q3,66,25,37.88,0.066,1.11,False
AUDNZD,2023Q4,55,23,41.82,0.111,1.19,False
AUDNZD,2024Q1,46,22,47.83,0.299,1.57,False
AUDNZD,2024Q2,56,22,39.29,0.109,1.18,False
AUDNZD,2024Q3,48,18,37.5,0.031,1.05,False
AUDNZD,2024Q4,44,16,36.36,0.013,1.02,False
AUDNZD,2025Q1,53,21,39.62,0.126,1.21,False
AUDNZD,2025Q2,56,20,35.71,0.04,1.06,False
AUDNZD,2025Q3,77,19,24.68,-0.26,0.65,False
