window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.22830860187098104,-0.02819530150096384,0.08526661720373668,,1.0,GBPUSD,AUDCHF
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.06246481883677663,-0.3384146693506098,0.11172099496038046,adf_gate,,GBPUSD,AUDCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.10253782668301686,-0.6123119391083848,0.00029966607468575923,,1.0,GBPUSD,AUDCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.20821913125454866,-0.7741956656332757,0.0005499140962558904,,1.0,GBPUSD,AUDCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,-0.15848548527393636,0.6200301040320255,0.04871380023358068,,1.0,AUDCAD,AUDNZD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.12147308553408362,0.017095492384722598,0.005903801749119733,,1.0,AUDCAD,AUDNZD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.1537870791485734,0.4473631640909268,0.04393654103523684,,1.0,AUDCAD,AUDNZD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.17920854414580006,0.8688026584213263,0.09694402163749694,,2.0,AUDCAD,AUDNZD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.16992017699580128,0.791576779444271,0.052868496497346366,,1.0,AUDCAD,AUDNZD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.09405213699719223,-0.038002663130515486,0.0022689969096708618,,0.0,AUDCAD,AUDNZD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.1676991818843132,0.720389538249979,0.004765641019194472,,3.0,AUDCAD,AUDNZD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.17328914946546883,0.7288065882940535,9.14214543334272e-06,,1.0,AUDCAD,AUDNZD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.15831705504876595,0.5244901212493364,8.15923559871001e-06,,1.0,AUDCAD,AUDNZD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.04462409279867153,0.35526024101122267,0.019242675172893093,,1.0,GBPUSD,EURAUD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.32915694887846103,-0.20158140761659055,0.015965940101955237,,0.0,GBPUSD,EURAUD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.44174340029949954,-0.4220098482000161,0.026158628674450533,,1.0,GBPUSD,EURAUD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.6057120346273114,-0.7410828227685607,0.06733253603625766,,1.0,GBPUSD,EURAUD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.4232078982259475,-0.35971015412924595,0.06384723209948548,,1.0,GBPUSD,EURAUD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.30246377005614766,-0.11782739378356953,0.09453414750132699,,0.0,GBPUSD,EURAUD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.04751647311588915,0.40608404282811916,0.10990206405917097,adf_gate,,GBPUSD,EURAUD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.07292172016532383,0.6300048193707499,0.0010122228202494132,,1.0,GBPUSD,EURAUD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.2533977615173683,0.9452590243236196,0.0007205193207970248,,1.0,GBPUSD,EURAUD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,1.735095410312725,-0.38300215140800997,0.0017236725747797005,,3.0,NZDCAD,EURJPY
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.7890475761470738,-0.19493565369096583,0.008213835118030309,,1.0,NZDCAD,EURJPY
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-1.3252645522044197,0.22197478045799018,0.010056994299750845,,2.0,NZDCAD,EURJPY
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.5412511867972768,0.06895708868621946,0.06066282737691463,,2.0,NZDCAD,EURJPY
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.2679257196476271,0.01564980218570424,0.04613672052282421,,1.0,NZDCAD,EURJPY
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.8472616007940816,0.12865673155651147,0.01233462925462337,,0.0,NZDCAD,EURJPY
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.5490857795729206,0.06983942530407974,0.0031972211014311227,,4.0,NZDCAD,EURJPY
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.035729450884089735,-0.03194041736120173,0.00016499588239301906,,1.0,NZDCAD,EURJPY
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.6090271240382263,-0.15913556700900472,0.0005472145326860759,,1.0,NZDCAD,EURJPY
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.2824260644585783,-0.6015673718846589,0.09443244736402623,,1.0,EURCHF,GBPCAD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.14051319445859808,-0.3421484872832671,0.0294275734183379,,2.0,EURCHF,GBPCAD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.208272597777602,0.3129417250577801,0.028624762526116905,,1.0,EURCHF,GBPCAD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.03212461019553143,-0.021378017354718462,0.09454699418205659,,1.0,EURCHF,GBPCAD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.16684066737322525,-0.3848964320681437,0.004956395686283093,,5.0,EURCHF,GBPCAD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.2233831800770601,-0.4759624048632292,0.046517165862424104,,0.0,EURCHF,GBPCAD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.013748854487866636,-0.12372082796610612,0.001760441872313788,,2.0,EURCHF,GBPCAD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.0815161851591844,0.029432400228819565,0.006339196591160876,,1.0,EURCHF,GBPCAD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.007123002410276748,-0.09528669958525242,0.007139278518325047,,1.0,EURCHF,GBPCAD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,-0.12770772102313752,-0.27924324454092697,0.020552664523507947,,1.0,NZDCAD,GBPUSD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.2607011799072206,0.2828905797194568,0.007706283355840869,,1.0,NZDCAD,GBPUSD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.31732837570678407,0.522331017377171,0.024147862046990654,,1.0,NZDCAD,GBPUSD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.30585422640991455,0.48839105068097,0.007113370087658666,,2.0,NZDCAD,GBPUSD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.312714285887069,0.50779525510762,0.006022223640574257,,3.0,NZDCAD,GBPUSD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.3235119791939894,0.5419169697712671,0.0034721288405505134,,0.0,NZDCAD,GBPUSD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.26048865980789737,0.259634958047221,0.002839757599387184,,2.0,NZDCAD,GBPUSD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.22531385969430096,0.0991931991113224,0.0003081759645047028,,1.0,NZDCAD,GBPUSD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.23220927640826125,0.09053303876267851,0.032760526947283125,,1.0,NZDCAD,GBPUSD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.1422365999739321,-0.5273554406365337,0.0030011307544853716,,2.0,NZDCAD,GBPAUD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.1615811235303334,-0.5525390826043164,0.009610846550916275,,1.0,NZDCAD,GBPAUD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.18654309185026627,-0.5873817191874949,0.018289653778030282,,1.0,NZDCAD,GBPAUD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.16178122646672066,-0.04319559368955875,0.1422581845236815,adf_gate,,NZDCAD,GBPAUD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.047587005028661374,-0.21263847916151735,0.03261744825319612,,1.0,NZDCAD,GBPAUD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.000745426597835651,-0.28432212513020727,0.008144983728936375,,0.0,NZDCAD,GBPAUD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.0582571422636459,-0.19541529335028662,0.003182894206449843,,3.0,NZDCAD,GBPAUD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.11112366141937187,-0.12388012356446189,0.0003746464809746179,,1.0,NZDCAD,GBPAUD
