entry_time,exit_time,side,entry_spread,exit_spread,entry_z,exit_z,gross_pnl,cost,net_pnl,duration_bars,duration_days,exit_reason,y,x
2025-03-06 07:00:00+02:00,2025-03-06 15:00:00+02:00,-1,0.02997576336307145,0.025233772149150097,4.795885934066154,4.069914107729996,0.004741991213921354,0.0006333333333333333,0.004108657880588021,2,0.3333333333333333,stop_z,EURCHF,GBPCAD
2025-03-06 19:00:00+02:00,2025-03-11 19:00:00+02:00,-1,0.020306097213588642,0.03463333317974185,3.4405892179050794,4.138963788080903,-0.014327235966153207,0.0009166666666666665,-0.015243902632819873,19,3.1666666666666665,stop_z,EURCHF,GBPCAD
2025-03-11 23:00:00+02:00,2025-04-04 12:00:00+03:00,-1,0.03393958843365871,0.002551879167790011,3.987822090427461,-0.050324094088967423,0.0313877092658687,0.0024,0.028987709265868702,108,18.0,mean_revert,EURCHF,GBPCAD
2025-07-28 20:00:00+03:00,2025-08-06 16:00:00+03:00,1,-0.007367834218921149,-8.152685558013295e-05,-2.2256346139944565,-0.15790537688532127,0.007286307363341016,0.0013,0.005986307363341016,42,7.0,mean_revert,EURCHF,GBPCAD
2025-08-12 16:00:00+03:00,2025-08-26 00:00:00+03:00,-1,0.011021760519976886,0.00477007655199721,2.1022538461653544,0.453627046278006,0.0062516839679796765,0.0015666666666666665,0.00468501730131301,58,9.666666666666666,mean_revert,EURCHF,GBPCAD
2025-10-22 12:00:00+03:00,2025-11-24 15:00:00+02:00,1,-0.008780626835473843,-0.0033405716828485144,-2.0335072224214037,-0.43600419219544523,0.005440055152625328,0.002916666666666667,0.0025233884859586614,139,23.166666666666668,mean_revert,EURCHF,GBPCAD
2026-01-27 23:00:00+02:00,2026-03-24 15:00:00+02:00,1,-0.013807317859984763,-0.023054755949891342,-2.2051783205894533,-0.47842411899062653,-0.009247438089906579,0.0046166666666666665,-0.013864104756573245,241,40.166666666666664,mean_revert,EURCHF,GBPCAD
2022-09-07 04:00:00+03:00,2022-10-26 16:00:00+03:00,1,-0.05255197784872129,-0.05807988365911579,-2.007963227011245,-0.4359057610079867,-0.005527905810394501,0.004266666666666667,-0.009794572477061168,220,36.666666666666664,mean_revert,NZDCAD,GBPUSD
2022-11-23 15:00:00+02:00,2023-02-03 19:00:00+02:00,-1,-0.0015445125805388094,0.02417027296483157,2.136555909195038,0.3787445364587899,-0.025714785545370378,0.005716666666666666,-0.031431452212037046,307,51.166666666666664,mean_revert,NZDCAD,GBPUSD
2023-04-14 20:00:00+03:00,2023-05-02 12:00:00+03:00,1,0.0035213004679829907,0.017029231710956216,-2.0364343765595834,-0.44927265846671466,0.013507931242973226,0.0018166666666666665,0.01169126457630656,73,12.166666666666666,mean_revert,NZDCAD,GBPUSD
2023-05-25 04:00:00+03:00,2023-07-06 12:00:00+03:00,1,0.0014556958219772154,-0.0010780008579866218,-2.1434124001457593,-0.4785508231972846,-0.002533696679963837,0.003733333333333333,-0.0062670300132971705,188,31.333333333333332,mean_revert,NZDCAD,GBPUSD
