y,x,beta,half_life_hours,n_trades,total_pnl,avg_pnl,hit_rate,sharpe,max_dd,avg_duration_days,n_trades_is,total_pnl_is,avg_pnl_is,hit_rate_is,sharpe_is,max_dd_is,avg_duration_days_is,n_trades_oos,total_pnl_oos,avg_pnl_oos,hit_rate_oos,sharpe_oos,max_dd_oos,avg_duration_days_oos
EURCHF,GBPCAD,-0.3852686030407216,434.32480233285065,25,0.13135822602473615,0.0052543290409894465,0.76,2.264994539274188,-0.03240930672082397,14.280000000000003,23,0.11636749107788279,0.005059456133820991,0.782608695652174,2.5270831549112254,-0.03240930672082397,13.536231884057973,1,-0.013864104756573245,-0.013864104756573245,0.0,0.0,0.0,40.166666666666664
GBPCHF,USDCHF,0.3648845747300834,440.8743569165087,18,0.08631641468474627,0.004795356371374793,0.6666666666666666,0.7267587965945598,-0.02723469953583499,17.157407407407405,14,0.058466627664231274,0.004176187690302234,0.6428571428571429,1.5345054174034014,-0.02723469953583499,18.023809523809526,1,0.011163713839523411,0.011163713839523411,1.0,0.0,0.0,14.5
NZDCAD,GBPUSD,-0.1358443645806833,463.3721276838282,19,0.07081905117173551,0.0037273184827229214,0.631578947368421,1.1612554463704845,-0.03943615999863618,21.45614035087719,17,0.08281524994699872,0.004871485290999925,0.7058823529411765,1.534846816594096,-0.01969597236290569,20.186274509803923,1,-0.0022016262982020424,-0.0022016262982020424,0.0,0.0,0.0,27.833333333333332
NZDCAD,USDCHF,0.1450003172475835,422.70795053811344,21,0.0644468913928336,0.0030688995901349335,0.7619047619047619,0.8983562387937897,-0.06450369016740494,19.444444444444443,19,0.08056346306481413,0.004240182266569165,0.8421052631578947,1.2640039312982592,-0.03016428448452263,18.0,1,-0.00833037338784265,-0.00833037338784265,0.0,0.0,0.0,29.5
NZDCAD,GBPJPY,-0.1540009243225953,390.7084460802794,22,0.0683216918414706,0.003105531447339573,0.7727272727272727,1.2685539136645498,-0.03249688074404602,16.11363636363636,20,0.08360024839597441,0.00418001241979872,0.85,1.7676675162269095,-0.019060224303872948,14.933333333333332,1,-0.007726916801850723,-0.007726916801850723,0.0,0.0,0.0,29.166666666666668
NZDCAD,GBPNZD,-0.241822640618306,401.0972552420003,22,0.03605043792047538,0.0016386562691125173,0.7272727272727273,0.4962242113467366,-0.05633654456008433,17.818181818181817,20,0.04717014015694754,0.002358507007847377,0.8,0.7148758954785152,-0.0148833180472277,16.549999999999997,1,-0.0027297914196108834,-0.0027297914196108834,0.0,0.0,0.0,26.833333333333332
NZDCAD,CADCHF,0.1616590790411122,386.8293297199669,22,0.04931040889866281,0.0022413822226664912,0.8181818181818182,0.5714764786254628,-0.06770065646924953,17.053030303030305,20,0.05785672034129214,0.002892836017064607,0.85,0.729520194754714,-0.034927943145055707,16.1,1,-0.009156746178708134,-0.009156746178708134,0.0,0.0,0.0,28.833333333333332
NZDCAD,NZDCHF,0.1929093679488287,386.1742774812536,19,0.01616294385803726,0.0008506812556861715,0.7894736842105263,0.2118477948612207,-0.062427547636088966,18.280701754385962,17,0.02157581808982365,0.0012691657699896264,0.8235294117647058,0.30696992976474774,-0.03266186181078683,17.499999999999996,1,-0.008285526524796161,-0.008285526524796161,0.0,0.0,0.0,28.833333333333332
GBPUSD,USDCHF,-0.6349398717198345,445.6344640640355,18,0.08886425842967635,0.0049369032460931305,0.6666666666666666,0.7597175228314718,-0.027205508990962416,17.203703703703706,14,0.05885557681409315,0.004203969772435224,0.6428571428571429,1.5817601809197424,-0.027205508990962416,18.0952380952381,1,0.011135659243939357,0.011135659243939357,1.0,0.0,0.0,14.5
AUDUSD,EURGBP,0.5755685343116401,483.8291957717705,27,0.1332760136551002,0.0049361486538926,0.5925925925925926,1.0115019280817203,-0.04484643948244374,15.203703703703702,24,0.2115289391495341,0.008813705797897255,0.625,2.861840706904901,-0.03785728530494241,12.541666666666666,1,-0.04484643948244374,-0.04484643948244374,0.0,0.0,0.0,61.833333333333336
EURCHF,GBPNZD,-0.3218864378166838,409.7636242199672,31,0.16014075141858533,0.0051658306909221074,0.8064516129032258,2.6486977170081216,-0.035514626786213824,11.370967741935482,28,0.13224049174662614,0.004722874705236648,0.8214285714285714,2.8633201356283062,-0.035514626786213824,10.339285714285712,1,-0.014654935710264546,-0.014654935710264546,0.0,0.0,0.0,39.166666666666664
