symbol,samples,median_pips,mean_pips,max_pips,median_points,max_points
VOLKSWAGEN.i,20,1.4,1.44,1.6,14.0,16
ADIDAS.i,20,1.4,1.645,2.3,14.0,23
COCA-COLA.i,20,1.4,1.4,1.4,14.0,14
NZDUSD.i,20,1.4,1.41,1.6,14.0,16
CME,20,1.4,1.4,1.4,14.0,14
EA,20,1.5,1.5,1.5,15.0,15
AEP,20,1.5,1.5,1.5,15.0,15
ORLY,20,1.5,1.5,1.5,15.0,15
ILMN,20,1.5,1.5,1.5,15.0,15
HP.i,20,1.5,1.5,1.5,15.0,15
LEN,20,1.5,1.5,1.5,15.0,15
CITI.i,20,1.5,1.5,1.5,15.0,15
RTX,20,1.5,1.5,1.5,15.0,15
RRC,20,1.5,1.5,1.5,15.0,15
BKU,20,1.5,1.5,1.5,15.0,15
MAS,20,1.5,1.5,1.5,15.0,15
CADCHF.i,20,1.5,1.53,1.7,15.0,17
PHM,20,1.5,1.5,1.5,15.0,15
DTE,20,1.5,1.5,1.5,15.0,15
SWBI,20,1.5,1.5,1.5,15.0,15
P&G.i,20,1.5,1.5,1.5,15.0,15
DVN,20,1.5,1.5,1.5,15.0,15
NTAP,20,1.5,1.5,1.5,15.0,15
GPN,20,1.5,1.5,1.5,15.0,15
OMER,20,1.5,1.5,1.5,15.0,15
NZDJPY.i,20,1.5,1.54,1.9,15.0,19
AR,20,1.5,1.5,1.5,15.0,15
AMWL,20,1.5,1.5,1.5,15.0,15
CISCO.i,20,1.5,1.5,1.5,15.0,15
BDX,20,1.5,1.5,1.5,15.0,15
GOOGL,20,1.5,1.5,1.5,15.0,15
INTEL.i,20,1.5,1.5,1.5,15.0,15
ES,20,1.5,1.5,1.5,15.0,15
EXXON.i,20,1.6,1.6,1.6,16.0,16
BXP,20,1.6,1.6,1.6,16.0,16
PEG,20,1.6,1.6,1.6,16.0,16
USDCAD.i,20,1.6,1.55,1.7,16.0,17
AUDNZD.i,20,1.6,1.6199999999999999,1.8,16.0,18
AUDCHF.i,20,1.6,1.585,1.7,16.0,17
CRM,20,1.6,1.6,1.6,16.0,16
MDT,20,1.6,1.6,1.6,16.0,16
NDAQ,20,1.6,1.6,1.6,16.0,16
GM.i,20,1.6,1.6,1.6,16.0,16
SO,20,1.6,1.6,1.6,16.0,16
OII,20,1.6,1.6,1.6,16.0,16
NZDCHF.i,20,1.6,1.585,1.8,16.0,18
TRVG,20,1.6,1.6,1.6,16.0,16
TSN,20,1.6,1.6,1.6,16.0,16
PRU,20,1.6,1.6,1.6,16.0,16
CMS,20,1.6,1.6,1.6,16.0,16
ORACLE.i,20,1.6,1.6,1.6,16.0,16
ADM,20,1.6,1.6,1.6,16.0,16
ANET,20,1.6,1.6,1.6,16.0,16
BUSE,20,1.7,1.7,1.7,17.0,17
EOG,20,1.7,1.7,1.7,17.0,17
MO,20,1.7,1.7,1.7,17.0,17
VINFAST.i,20,1.7,1.7,1.7,17.0,17
DUK,20,1.7,1.7,1.7,17.0,17
DJ30.M26,20,1.7,1.6649999999999998,1.8,17.0,18
CHEVRON.i,20,1.7,1.7,1.7,17.0,17
