exit_time,symbol,net_$,equity_$,drawdown_%
2023-02-23 23:45:00,EURCAD,-0.12,1454.06,-0.68
2023-02-23 17:50:00,USDMXN,-5.04,1449.02,-1.03
2023-02-24 00:15:00,GBPCAD,3.45,1452.47,-0.79
2023-02-24 01:15:00,GBPUSD,4.18,1456.65,-0.5
2023-02-24 15:30:00,EURJPY,-3.29,1453.36,-0.73
2023-02-24 16:15:00,GBPUSD,6.7,1460.06,-0.27
2023-02-27 00:30:00,GBPUSD,-3.4,1456.66,-0.5
2023-02-27 01:05:00,EURJPY,2.03,1458.69,-0.37
2023-02-24 17:20:00,GBPCAD,-5.38,1453.31,-0.73
2023-02-27 02:00:00,GBPCAD,5.62,1458.93,-0.35
2023-02-27 02:25:00,EURCAD,2.43,1461.36,-0.18
2023-02-27 01:00:00,XAUUSD,4.13,1465.49,0.0
2023-02-27 15:35:00,XAUUSD,-6.52,1458.97,-0.44
2023-02-27 19:55:00,GBPCAD,9.29,1468.26,0.0
2023-02-27 21:20:00,EURJPY,5.68,1473.94,0.0
2023-02-27 17:25:00,USDMXN,2.5,1476.44,0.0
2023-02-27 19:05:00,USDMXN,-6.98,1469.46,-0.47
2023-02-28 15:55:00,EURCAD,4.32,1473.78,-0.18
2023-02-28 22:55:00,GBPCAD,-6.08,1467.7,-0.59
2023-02-28 17:20:00,EURJPY,-3.34,1464.36,-0.82
2023-03-01 00:25:00,EURCAD,-1.51,1462.85,-0.92
2023-02-28 22:50:00,USDMXN,2.16,1465.01,-0.77
2023-03-01 14:30:00,USDMXN,3.29,1468.3,-0.55
2023-03-01 20:45:00,EURCAD,-4.55,1463.75,-0.86
2023-03-01 17:00:00,GBPUSD,8.95,1472.7,-0.25
2023-03-01 16:35:00,EURJPY,4.01,1476.71,0.0
2023-03-02 01:05:00,EURJPY,0.39,1477.1,0.0
2023-03-01 19:05:00,GBPUSD,-8.36,1468.74,-0.57
2023-03-02 04:00:00,GBPUSD,1.94,1470.68,-0.43
2023-03-02 23:30:00,GBPCAD,4.84,1475.52,-0.11
2023-03-02 23:30:00,GBPUSD,0.46,1475.98,-0.08
2023-03-02 23:35:00,EURCAD,4.16,1480.14,0.0
2023-03-02 15:50:00,EURJPY,-2.21,1477.93,-0.15
2023-03-02 18:00:00,USDMXN,4.9,1482.83,0.0
2023-03-06 00:00:00,EURCAD,-1.38,1481.45,-0.09
2023-03-03 17:50:00,GBPCAD,-7.08,1474.37,-0.57
2023-03-03 20:10:00,GBPUSD,-8.19,1466.18,-1.12
2023-03-03 20:40:00,GBPCAD,3.87,1470.05,-0.86
2023-03-06 17:15:00,GBPCAD,3.14,1473.19,-0.65
2023-03-06 16:20:00,AUDCAD,-0.89,1472.3,-0.71
2023-03-06 16:50:00,EURJPY,3.63,1475.93,-0.47
2023-03-06 18:35:00,USDMXN,-4.8,1471.13,-0.79
2023-03-07 00:20:00,EURCAD,2.57,1473.7,-0.62
2023-03-07 00:55:00,EURJPY,1.89,1475.59,-0.49
2023-03-06 20:45:00,AUDCAD,1.63,1477.22,-0.38
2023-03-07 01:30:00,GBPCAD,0.51,1477.73,-0.34
2023-03-07 03:05:00,USDMXN,-0.55,1477.18,-0.38
2023-03-07 17:00:00,EURCAD,-3.05,1474.13,-0.59
2023-03-07 16:45:00,EURJPY,-2.72,1471.41,-0.77
2023-03-07 17:00:00,GBPUSD,6.77,1478.18,-0.31
2023-03-08 01:05:00,GBPCAD,9.02,1487.2,0.0
2023-03-08 01:05:00,GBPUSD,17.8,1505.0,0.0
2023-03-08 16:30:00,XAUUSD,-3.6,1501.4,-0.24
2023-03-08 16:00:00,EURCAD,2.54,1503.94,-0.07
2023-03-08 17:00:00,GBPUSD,4.51,1508.45,0.0
2023-03-08 17:00:00,EURCAD,-2.97,1505.48,-0.2
2023-03-08 17:20:00,GBPUSD,-4.89,1500.59,-0.52
2023-03-09 01:25:00,GBPCAD,3.67,1504.26,-0.28
2023-03-09 01:35:00,EURCAD,-0.82,1503.44,-0.33
2023-03-09 02:05:00,GBPUSD,-3.88,1499.56,-0.59
2023-03-08 22:55:00,XAUUSD,14.99,1514.55,0.0
2023-03-09 16:30:00,USDMXN,-3.77,1510.78,-0.25
2023-03-09 15:40:00,EURCAD,-2.03,1508.75,-0.38
2023-03-09 20:00:00,GBPCAD,6.69,1515.44,0.0
2023-03-09 16:05:00,EURCAD,-2.22,1513.22,-0.15
2023-03-09 19:45:00,EURCAD,4.47,1517.69,0.0
2023-03-10 01:30:00,EURCAD,6.6,1524.29,0.0
2023-03-10 16:25:00,EURCAD,4.17,1528.46,0.0
2023-03-10 15:25:00,GBPCAD,-3.49,1524.97,-0.23
2023-03-10 16:25:00,EURJPY,-6.12,1518.85,-0.63
2023-03-10 17:10:00,GBPCAD,12.14,1530.99,0.0
2023-03-13 02:30:00,EURCAD,-0.79,1530.2,-0.05
2023-03-12 23:55:00,GBPCAD,6.63,1536.83,0.0
2023-03-13 16:45:00,GBPUSD,12.01,1548.84,0.0
2023-03-13 15:45:00,GBPCAD,-7.82,1541.02,-0.5
2023-03-13 16:35:00,EURCAD,-8.0,1533.02,-1.02
2023-03-13 20:05:00,GBPCAD,10.03,1543.05,-0.37
2023-03-14 01:15:00,GBPUSD,2.08,1545.13,-0.24
2023-03-13 19:00:00,EURCAD,7.34,1552.47,0.0
2023-03-14 03:25:00,EURCAD,-4.36,1548.11,-0.28
2023-03-14 23:05:00,EURJPY,-0.03,1548.08,-0.28
2023-03-14 23:05:00,GBPUSD,-6.2,1541.88,-0.68
2023-03-14 15:40:00,AUDCAD,2.29,1544.17,-0.53
2023-03-14 23:45:00,AUDCAD,-2.59,1541.58,-0.7
2023-03-14 16:05:00,XAUUSD,15.62,1557.2,0.0
2023-03-15 01:10:00,XAUUSD,-5.52,1551.68,-0.35
2023-03-15 23:55:00,GBPUSD,2.28,1553.96,-0.21
2023-03-15 17:40:00,GBPCAD,-4.02,1549.94,-0.47
2023-03-15 19:15:00,EURJPY,-5.7,1544.24,-0.83
2023-03-16 05:10:00,USDMXN,-3.61,1540.63,-1.06
2023-03-16 03:05:00,XAUUSD,-22.96,1517.67,-2.54
2023-03-16 17:35:00,USDMXN,-9.22,1508.45,-3.13
2023-03-16 23:05:00,GBPCAD,2.61,1511.06,-2.96
2023-03-16 17:20:00,EURJPY,-10.49,1500.57,-3.64
2023-03-17 00:05:00,GBPUSD,7.52,1508.09,-3.15
2023-03-16 19:45:00,EURCAD,-4.18,1503.91,-3.42
2023-03-16 17:35:00,XAUUSD,-7.65,1496.26,-3.91
2023-03-17 20:00:00,GBPUSD,8.07,1504.33,-3.4
2023-03-17 17:25:00,EURCAD,7.71,1512.04,-2.9
2023-03-19 23:00:00,GBPCAD,10.88,1522.92,-2.2
2023-03-17 18:25:00,EURJPY,-6.28,1516.64,-2.6
2023-03-20 01:45:00,EURCAD,-0.32,1516.32,-2.63
2023-03-20 14:10:00,USDMXN,-5.96,1510.36,-3.01
2023-03-20 23:25:00,GBPUSD,5.76,1516.12,-2.64
2023-03-20 16:00:00,XAUUSD,-16.89,1499.23,-3.72
2023-03-20 16:00:00,EURCAD,-4.68,1494.55,-4.02
2023-03-20 23:30:00,GBPCAD,2.48,1497.03,-3.86
2023-03-20 17:50:00,EURCAD,2.71,1499.74,-3.69
2023-03-20 21:35:00,EURCAD,-2.57,1497.17,-3.85
2023-03-22 00:05:00,GBPCAD,3.49,1500.66,-3.63
2023-03-21 16:20:00,USDMXN,-5.04,1495.62,-3.95
