entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2026-03-04 17:05:00,2026-03-05 01:05:00,S,1.8264,1.82309,1.83139,1.81641,0.663,time,4.79,0.43,4.36,-5.59,GBPCAD,994.41,-7.11
2026-03-05 15:05:00,2026-03-05 16:00:00,S,1.82023,1.82242,1.82242,1.81585,-1.0,sl,-3.17,0.43,-3.6,-9.19,GBPCAD,990.81,-7.44
2026-03-05 15:20:00,2026-03-05 15:50:00,S,1.33618,1.33372,1.33741,1.33372,2.0,tp,4.92,0.32,4.6,-4.59,GBPUSD,995.41,-7.01
2026-03-05 15:25:00,2026-03-05 17:55:00,S,1.58148,1.58432,1.58432,1.57579,-1.0,sl,-4.11,0.41,-4.52,-9.11,EURCAD,990.89,-7.43
2026-03-05 15:40:00,2026-03-05 16:30:00,L,0.57255,0.57158,0.57158,0.57448,-1.0,sl,-2.46,0.46,-2.92,-12.03,CADCHF,987.97,-7.71
2026-03-05 16:15:00,2026-03-05 18:25:00,S,1.33464,1.3298,1.33706,1.3298,2.0,tp,9.68,0.32,9.36,-2.67,GBPUSD,997.33,-6.83
2026-03-05 16:55:00,2026-03-05 17:35:00,S,1.82027,1.82304,1.82304,1.81474,-1.0,sl,-4.0,0.43,-4.43,-7.1,GBPCAD,992.9,-7.25
2026-03-06 15:10:00,2026-03-06 15:30:00,S,1.57811,1.57952,1.57952,1.57529,-1.0,sl,-2.04,0.41,-2.45,-9.55,EURCAD,990.45,-7.48
2026-03-06 15:25:00,2026-03-06 15:30:00,L,0.57278,0.57227,0.57227,0.57381,-1.0,sl,-1.31,0.46,-1.77,-11.32,CADCHF,988.68,-7.64
2026-03-06 15:55:00,2026-03-06 18:05:00,S,1.15591,1.15936,1.15936,1.14901,-1.0,sl,-6.9,0.26,-7.16,-18.48,EURUSD,981.52,-8.31
2026-03-06 16:00:00,2026-03-08 23:05:00,S,1.82025,1.81461,1.82548,1.80979,1.078,time,8.16,0.43,7.73,-10.75,GBPCAD,989.25,-7.59
2026-03-06 16:05:00,2026-03-06 18:05:00,S,1.33422,1.33892,1.33892,1.32482,-1.0,sl,-9.4,0.32,-9.72,-20.47,GBPUSD,979.53,-8.5
2026-03-06 16:15:00,2026-03-08 23:00:00,S,1.57855,1.57214,1.58176,1.57214,2.0,tp,9.28,0.41,8.87,-11.6,EURCAD,988.4,-7.67
2026-03-06 17:30:00,2026-03-09 00:35:00,L,0.57202,0.57368,0.57049,0.57508,1.085,time,4.23,0.46,3.77,-7.83,CADCHF,992.17,-7.32
2026-03-09 16:10:00,2026-03-09 17:40:00,S,1.15547,1.15884,1.15884,1.14873,-1.0,sl,-6.74,0.26,-7.0,-14.83,EURUSD,985.17,-7.97
2026-03-10 21:05:00,2026-03-11 06:05:00,L,5195.46,5205.08,5159.61151,5267.15699,0.268,time,19.24,0.34,18.9,4.07,XAUUSD,1004.07,-6.2
2026-03-11 15:15:00,2026-03-11 16:00:00,S,1.34109,1.34341,1.34341,1.33645,-1.0,sl,-4.64,0.32,-4.96,-0.89,GBPUSD,999.11,-6.67
2026-03-11 15:50:00,2026-03-11 16:00:00,S,1.57392,1.57509,1.57509,1.57158,-1.0,sl,-1.69,0.41,-2.1,-2.99,EURCAD,997.01,-6.86
2026-03-11 16:25:00,2026-03-12 00:25:00,S,1.57341,1.57131,1.57695,1.56633,0.593,time,3.04,0.41,2.63,-0.36,EURCAD,999.64,-6.62
2026-03-11 17:10:00,2026-03-12 01:10:00,S,1.34201,1.33897,1.34374,1.33855,1.757,time,6.08,0.32,5.76,5.4,GBPUSD,1005.4,-6.08
2026-03-11 18:05:00,2026-03-12 02:05:00,S,1.82196,1.81877,1.82422,1.81744,1.412,time,4.62,0.43,4.19,9.59,GBPCAD,1009.59,-5.69
2026-03-11 19:40:00,2026-03-11 20:30:00,L,0.57423,0.57355,0.57355,0.5756,-1.0,sl,-1.74,0.46,-2.2,7.39,CADCHF,1007.39,-5.89
2026-03-12 14:25:00,2026-03-12 14:50:00,L,5170.46,5184.34704,5163.51648,5184.34704,2.0,tp,27.77,0.34,27.43,34.82,XAUUSD,1034.82,-3.33
2026-03-12 15:00:00,2026-03-12 15:20:00,L,5180.95,5163.42662,5163.42662,5215.99675,-1.0,sl,-35.05,0.34,-35.39,-0.57,XAUUSD,999.43,-6.64
2026-03-12 15:20:00,2026-03-12 19:20:00,S,1.56808,1.57047,1.57047,1.5633,-1.0,sl,-3.46,0.41,-3.87,-4.44,EURCAD,995.56,-7.0
2026-03-12 15:55:00,2026-03-12 23:55:00,S,1.33701,1.3344,1.33922,1.33258,1.178,time,5.22,0.32,4.9,0.46,GBPUSD,1000.46,-6.54
2026-03-12 15:55:00,2026-03-12 23:55:00,S,1.81902,1.81958,1.82108,1.81491,-0.272,time,-0.81,0.43,-1.24,-0.78,GBPCAD,999.22,-6.66
2026-03-12 16:50:00,2026-03-13 00:50:00,L,0.57596,0.57618,0.57479,0.5783,0.188,time,0.56,0.46,0.1,-0.68,CADCHF,999.32,-6.65
2026-03-12 19:55:00,2026-03-12 20:30:00,S,1.57003,1.56844,1.57082,1.56844,2.0,tp,2.29,0.41,1.88,1.2,EURCAD,1001.2,-6.47
2026-03-13 15:05:00,2026-03-13 15:45:00,S,1.14768,1.14889,1.14889,1.14527,-1.0,sl,-2.41,0.26,-2.67,-1.47,EURUSD,998.53,-6.72
2026-03-13 15:10:00,2026-03-13 15:35:00,S,5114.99,5099.87159,5122.5492,5099.87159,2.0,tp,30.24,0.34,29.9,28.43,XAUUSD,1028.43,-3.93
2026-03-13 15:40:00,2026-03-13 16:45:00,S,5106.67,5074.68733,5122.66133,5074.68733,2.0,tp,63.97,0.34,63.63,92.06,XAUUSD,1092.06,0.0
