entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2025-06-09 16:30:00,2025-06-09 17:40:00,S,19.0756,19.04927,19.08876,19.04927,2.0,tp,3.04,1.2,1.84,3129.24,USDMXN,4129.24,-2.06
2025-06-09 16:35:00,2025-06-10 00:35:00,L,1.85322,1.85553,1.85117,1.85731,1.129,time,3.34,0.43,2.91,3132.15,GBPCAD,4132.15,-1.99
2025-06-09 16:35:00,2025-06-10 00:35:00,L,1.56091,1.56387,1.55852,1.56569,1.238,time,4.28,0.41,3.87,3136.02,EURCAD,4136.02,-1.9
2025-06-09 19:00:00,2025-06-10 03:00:00,L,1.35618,1.35538,1.35433,1.35988,-0.432,time,-1.6,0.32,-1.92,3134.1,GBPUSD,4134.1,-1.94
2025-06-10 15:05:00,2025-06-10 17:05:00,L,1.56567,1.56357,1.56357,1.56986,-1.0,sl,-3.03,0.41,-3.44,3130.66,EURCAD,4130.66,-2.02
2025-06-10 15:25:00,2025-06-10 17:45:00,L,3335.43,3327.66418,3327.66418,3350.96163,-1.0,sl,-15.53,0.34,-15.87,3114.79,XAUUSD,4114.79,-2.4
2025-06-10 15:25:00,2025-06-10 16:00:00,S,1.84828,1.84991,1.84991,1.84502,-1.0,sl,-2.36,0.43,-2.79,3112.0,GBPCAD,4112.0,-2.47
2025-06-10 16:05:00,2025-06-10 20:30:00,S,19.0399,19.0602,19.0602,18.9993,-1.0,sl,-2.34,1.2,-3.54,3108.46,USDMXN,4108.46,-2.55
2025-06-10 17:05:00,2025-06-10 22:55:00,S,1.84997,1.84582,1.85204,1.84582,2.0,tp,6.0,0.43,5.57,3114.03,GBPCAD,4114.03,-2.42
2025-06-10 21:40:00,2025-06-10 21:55:00,S,19.0644,19.05407,19.06957,19.05407,2.0,tp,1.19,1.2,-0.01,3114.02,USDMXN,4114.02,-2.42
2025-06-10 22:00:00,2025-06-11 06:00:00,S,19.05312,19.06378,19.06959,19.02017,-0.647,time,-1.23,1.2,-2.43,3111.59,USDMXN,4111.59,-2.48
2025-06-11 14:35:00,2025-06-11 15:30:00,L,3332.22,3345.47896,3325.59052,3345.47896,2.0,tp,26.52,0.34,26.18,3137.77,XAUUSD,4137.77,-1.86
2025-06-11 15:15:00,2025-06-11 15:30:00,L,1.34952,1.35175,1.34841,1.35175,2.0,tp,4.46,0.32,4.14,3141.91,GBPUSD,4141.91,-1.76
2025-06-11 15:15:00,2025-06-11 17:40:00,L,1.56516,1.56879,1.56335,1.56879,2.0,tp,5.25,0.41,4.84,3146.75,EURCAD,4146.75,-1.64
2025-06-11 15:35:00,2025-06-11 23:35:00,L,1.35387,1.35431,1.34857,1.36446,0.083,time,0.88,0.32,0.56,3147.31,GBPUSD,4147.31,-1.63
2025-06-11 16:20:00,2025-06-12 00:20:00,S,0.89096,0.88846,0.89377,0.88534,0.889,time,3.62,0.29,3.33,3150.64,AUDCAD,4150.64,-1.55
2025-06-11 17:15:00,2025-06-12 01:15:00,L,1.84876,1.85217,1.84605,1.85417,1.259,time,4.93,0.43,4.5,3155.14,GBPCAD,4155.14,-1.44
2025-06-11 18:20:00,2025-06-12 02:20:00,L,1.56908,1.57216,1.56721,1.57281,1.651,time,4.46,0.41,4.05,3159.19,EURCAD,4159.19,-1.35
2025-06-11 21:05:00,2025-06-12 01:10:00,L,3332.88,3360.37486,3319.13257,3360.37486,2.0,tp,54.99,0.34,54.65,3213.84,XAUUSD,4213.84,-0.05
2025-06-11 21:35:00,2025-06-11 22:10:00,S,18.9015,18.91789,18.91789,18.86872,-1.0,sl,-1.89,1.2,-3.09,3210.75,USDMXN,4210.75,-0.12
2025-06-12 15:35:00,2025-06-12 17:45:00,L,1.85285,1.85058,1.85058,1.85739,-1.0,sl,-3.28,0.43,-3.71,3207.04,GBPCAD,4207.04,-0.21
2025-06-12 15:35:00,2025-06-12 16:20:00,L,1.58294,1.57918,1.57918,1.59046,-1.0,sl,-5.44,0.41,-5.85,3201.19,EURCAD,4201.19,-0.35
2025-06-12 16:05:00,2025-06-13 00:05:00,L,1.3617,1.36123,1.35786,1.36938,-0.122,time,-0.94,0.32,-1.26,3199.93,GBPUSD,4199.93,-0.38
2025-06-12 16:10:00,2025-06-13 00:10:00,S,0.88835,0.88794,0.88975,0.88555,0.292,time,0.59,0.29,0.3,3200.23,AUDCAD,4200.23,-0.37
2025-06-12 18:50:00,2025-06-12 19:30:00,L,1.57536,1.57422,1.57422,1.57763,-1.0,sl,-1.64,0.41,-2.05,3198.18,EURCAD,4198.18,-0.42
2025-06-12 20:30:00,2025-06-12 22:40:00,L,3381.01,3387.60623,3377.71188,3387.60623,2.0,tp,13.19,0.34,12.85,3211.03,XAUUSD,4211.03,-0.12
2025-06-12 20:55:00,2025-06-13 03:10:00,S,18.9099,18.93685,18.93685,18.85601,-1.0,sl,-3.11,1.2,-4.31,3206.72,USDMXN,4206.72,-0.22
2025-06-13 15:05:00,2025-06-13 16:05:00,S,1.84526,1.84184,1.84697,1.84184,2.0,tp,4.95,0.43,4.52,3211.24,GBPCAD,4211.24,-0.11
2025-06-13 17:05:00,2025-06-13 18:15:00,S,19.0309,18.8937,19.0995,18.8937,2.0,tp,15.85,1.2,14.65,3225.89,USDMXN,4225.89,0.0
